"","DOB","gender","startClockTime","endClockTime","startTimeSecs","endTimeSecs","child_id","filename","corpus","startTimestamp","endTimeStamp","date","startClockHours","startClockMinutes","startClockSeconds","endClockHours","endClockMinutes","endClockSeconds","endTimeSecs_for_hours","total_hrs","startClockTotalSeconds","age_interval","age_mos"
"1","2011-02-22","FALSE","2013-08-22T13:09:11Z","2013-08-23T05:09:10Z","0.00S","57599.99S","001LTP1","/Users/megcychosz/Library/CloudStorage/Box-Box/box-group-lena-studies/Soundscape/wavFiles/001LTP1.its","L","2013-08-22 08:09:11","2013-08-23 00:09:10","2013-08-22",8,9,11,0,9,10,"57600.00S",16,29351,"2011-02-22 UTC--2013-08-22 UTC",30
"2","2011-02-22","FALSE","2014-06-12T13:11:29Z","2014-06-13T05:11:28Z","0.00S","57599.99S","001LTP2","001LTP2.its","L","2014-06-12 08:11:29","2014-06-13 00:11:28","2014-06-12",8,11,29,0,11,28,"57600.00S",16,29489,"2011-02-22 UTC--2014-06-12 UTC",39
"3","2009-07-28","FALSE","2013-11-10T13:10:54Z","2013-11-11T05:10:53Z","0.00S","57599.99S","002LTP2","/Users/megcychosz/Library/CloudStorage/Box-Box/box-group-lena-studies/Soundscape/wavFiles/002LTP2.its","L","2013-11-10 07:10:54","2013-11-10 23:10:53","2013-11-10",7,10,54,23,10,53,"57600.00S",16,25854,"2009-07-28 UTC--2013-11-10 UTC",51
"4","2010-02-18","FALSE","2013-12-01T15:18:05Z","2013-12-02T07:18:04Z","0.00S","57599.99S","004LTP2","004LTP2.its","L","2013-12-01 09:18:05","2013-12-02 01:18:04","2013-12-01",9,18,5,1,18,4,"57600.00S",16,33485,"2010-02-18 UTC--2013-12-01 UTC",45
"5","2010-03-18","M","2013-01-06T12:53:45Z","2013-01-07T04:53:44Z","0.00S","57599.99S","005LTP1","/Users/megcychosz/Library/CloudStorage/Box-Box/box-group-lena-studies/Soundscape/wavFiles/005LTP1.its","L","2013-01-06 06:53:45","2013-01-06 22:53:44","2013-01-06",6,53,45,22,53,44,"57600.00S",16,24825,"2010-03-18 UTC--2013-01-06 UTC",33
"6","2010-03-18","M","2013-11-24T13:12:58Z","2013-11-25T05:12:57Z","0.00S","57599.99S","005LTP2","005LTP2.its","L","2013-11-24 07:12:58","2013-11-24 23:12:57","2013-11-24",7,12,58,23,12,57,"57600.00S",16,25978,"2010-03-18 UTC--2013-11-24 UTC",44
"7","2010-09-11","FALSE","2013-02-10T12:38:14Z","2013-02-11T04:38:13Z","0.00S","57599.99S","006LTP1","006LTP1.its","L","2013-02-10 06:38:14","2013-02-10 22:38:13","2013-02-10",6,38,14,22,38,13,"57600.00S",16,23894,"2010-09-11 UTC--2013-02-10 UTC",28
"8","2010-09-11","FALSE","2014-02-01T12:34:53Z","2014-02-02T04:34:52Z","0.00S","57599.99S","006LTP2","006LTP2.its","L","2014-02-01 06:34:53","2014-02-01 22:34:52","2014-02-01",6,34,53,22,34,52,"57600.00S",16,23693,"2010-09-11 UTC--2014-02-01 UTC",40
"9","2010-04-22","FALSE","2012-12-03T14:07:44Z","2012-12-04T06:07:43Z","0.00S","57599.99S","007LTP1","007LTP1.its","L","2012-12-03 08:07:44","2012-12-04 00:07:43","2012-12-03",8,7,44,0,7,43,"57600.00S",16,29264,"2010-04-22 UTC--2012-12-03 UTC",31
"10","2010-04-22","FALSE","2013-11-12T13:01:41Z","2013-11-13T05:31:52Z","0.00S","57599.99S","007LTP2","007LTP2.its","L","2013-11-12 07:01:41","2013-11-12 23:31:52","2013-11-12",7,1,41,23,31,52,"57600.00S",16,25301,"2010-04-22 UTC--2013-11-12 UTC",42
